system:index,area_alerta_km2,bound_area_ha,id_gee,ndfi_diff,ndfi_t0,ndfi_t1,sensor,src,status,t0_cloudmask_area_ha,t0_cloudmask_area_perc,t0_period,t1_cloudmask_area_ha,t1_cloudmask_area_perc,t1_period,version,year,.geo
000000000000000017a3_2021_08_3,129430.97258981722,65.4049528102686,000000000000000017a3,0.31555500626564026,0.7868442932764689,0.47908163666725156,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a4_2021_08_3,154869.78431237437,73.59420216133815,000000000000000017a4,0.40707282846172654,0.8300846672058105,0.41777757555246353,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a5_2021_08_3,180237.68928773823,130.876743816333,000000000000000017a5,0.45529574155807495,0.7921401262283325,0.33180796504020693,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a6_2021_08_3,357951.8179754732,287.88205944475834,000000000000000017a6,0.4648197169105212,0.7957213887801537,0.33232871549470083,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a7_2021_08_3,1374450.2777798949,528.7975255275283,000000000000000017a7,0.319979250092398,0.7617657285138785,0.4419316581038178,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a8_2021_08_3,27917.12403392346,26.857935907670527,000000000000000017a8,0.41652899980545044,0.7336341887712479,0.29469984769821167,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017a9_2021_08_3,27907.843558041503,26.846384778553215,000000000000000017a9,0.1796913743019104,0.7747969329357147,0.6003211736679077,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017aa_2021_08_3,27909.36305265322,26.05180103138354,000000000000000017aa,0.23843461275100708,0.8166482959474836,0.5827511847019196,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ab_2021_08_3,27899.54314613458,29.980642936709415,000000000000000017ab,0.5366015434265137,0.8550794124603271,0.3162117898464203,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ac_2021_08_3,27887.48503774559,32.23063927258964,000000000000000017ac,0.5494998097419739,0.7744022011756897,0.23593391478061676,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ad_2021_08_3,27887.72329252498,36.86179425230114,000000000000000017ad,0.44244512915611267,0.7897887229919434,0.33489076793193817,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ae_2021_08_3,53352.62035497412,57.94861309255674,000000000000000017ae,0.1579905390739441,0.7197394172350565,0.5650381922721863,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017af_2021_08_3,53250.83047155785,39.351191896661675,000000000000000017af,0.3486081659793854,0.7690264210104942,0.4194408059120178,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b0_2021_08_3,53311.415704214334,46.23481061442605,000000000000000017b0,0.29359790682792664,0.7991240421930949,0.4668672978878021,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b1_2021_08_3,53304.14927512898,41.44081657642138,000000000000000017b1,0.2720220734675725,0.8245664409228733,0.5647398680448532,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b2_2021_08_3,256597.09114619793,96.67921660246259,000000000000000017b2,0.5350507915019989,0.7951010413029614,0.25302659869194033,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b3_2021_08_3,28027.410202541254,31.751980434100748,000000000000000017b3,0.16768660147984824,0.732089618841807,0.5495287626981735,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b4_2021_08_3,28021.082701978266,22.84067204324143,000000000000000017b4,0.3250865737597148,0.8112106919288635,0.4741661995649338,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b5_2021_08_3,27998.98803097477,28.693279214809696,000000000000000017b5,0.33811386922995246,0.8312050104141235,0.4833314120769501,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b6_2021_08_3,27806.082670070813,26.78631049485171,000000000000000017b6,0.38454267382621765,0.7253540307283401,0.35365813225507736,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b7_2021_08_3,28004.95105984858,38.379880132823175,000000000000000017b7,0.16129222512245178,0.7243603318929672,0.5492721199989319,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b8_2021_08_3,27998.336523752936,30.275591364848026,000000000000000017b8,0.13802748918533325,0.7062948346138,0.5769107639789581,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017b9_2021_08_3,27995.37991491115,29.4026566994522,000000000000000017b9,0.20949865380922955,0.7670839726924896,0.5460866391658783,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017ba_2021_08_3,27991.645001472676,31.62793636418963,000000000000000017ba,0.17630529403686523,0.744341604411602,0.5517770648002625,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017bb_2021_08_3,27985.782399311618,44.46145267684016,000000000000000017bb,0.247898131608963,0.777665376663208,0.509171724319458,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017bc_2021_08_3,53430.85640116752,49.40032875954759,000000000000000017bc,0.17102589209874472,0.7701871792475382,0.5950093950544085,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017bd_2021_08_3,383602.9866646887,161.34271684862563,000000000000000017bd,0.4015426993370056,0.768508726900274,0.3630308676511049,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017be_2021_08_3,408863.79053862183,228.02075057087188,000000000000000017be,0.4134321880340576,0.8005886867239669,0.3942187950015068,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017bf_2021_08_3,28123.087530680914,30.501659646097885,000000000000000017bf,0.18213793635368347,0.756535530090332,0.5476148128509521,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c0_2021_08_3,28112.476251222433,26.299063419871466,000000000000000017c0,0.24660199880599976,0.7653475701808929,0.5116994976997375,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000017c1_2021_08_3,28106.847459271277,34.50991403817552,000000000000000017c1,0.22696232795715332,0.7389237682024637,0.5128474235534668,S2,IMAZON,0.0,0.0,0.0,"2020-12-01,2021-06-01",0.0,0.0,"2021-06-01,2021-09-01",3.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
